,B Industries extr+Q1+E1:J1+E1:M1,C Industrie manufacturiŠre,"D Production et distribution d?‚lectricit‚, de gaz, de vapeur et d?air conditionn‚","E Production et distribution d?eau/ assainissement, gestion des d‚chets et d‚pollution",F Construction,G Commerce/ r‚paration d?automobiles et de motocycles,H Transports et entreposage,I H‚bergement et restauration,J Information et communication,"M Activit‚s sp‚cialis‚es, scientifiques et techniques",N Activit‚s de services administratifs et de soutien,"R Arts, spectacles et activit‚s r‚cr‚atives",S Autres activit‚s de services
01/01/2005,256214,55134342,9633280,1592910,7796250,98848741,9969443,2027776,6155899,7855594,5414632,528289,647486
01/04/2005,176192,58042194,8595351,1689403,9876285,104614222,10701125,2354361,6320928,8870097,6073617,560839,690612
01/07/2005,155818,55140356,8167137,1632008,8842740,99876648,10860944,2435451,5995574,7929442,6276486,661680,631782
01/10/2005,158613,60080599,11163351,1757493,11125240,112853019,11379362,2410145,7133378,9915396,6062064,618746,739134
01/01/2006,164363,62060358,13039682,1829010,8924759,113080746,10756018,2147096,6740376,8504691,5916255,545735,723689
01/04/2006,207286,66204987,10647957,1956948,10839966,111195864,11513705,2476009,6852420,9096798,6727489,583034,738531
01/07/2006,183857,61139232,9777934,1831235,9601190,107222274,12065640,2483643,6415429,7487765,6871046,707361,685539
01/10/2006,184465,66351231,13118377,2096097,12131760,117573031,13010756,2543717,7692396,9276967,6760985,661143,784770
01/01/2007,176071,65382300,12854422,2154671,10204145,121212290,12395246,2267948,7004587,8075314,6445958,652112,724618
01/04/2007,201217,67901736,11226451,2123131,12332334,120774416,12706293,2614171,6971598,8476502,6931991,638362,737813
01/07/2007,176955,64820186,10591451,1849436,10500830,114351224,13623951,2610045,6701321,7763905,7571506,772933,703716
01/10/2007,184911,70229218,13853765,2282632,12891386,126887250,13467463,2673864,7890922,10315834,7314210,730344,804859
01/01/2008,267614,70686699,14896921,2205708,11128481,119788979,13065528,2379329,7159843,8891913,6660410,661949,766897
01/04/2008,326424,73182285,13713723,2344088,13110451,125065049,14122481,2737495,7225874,9618046,7276376,693268,786923
01/07/2008,313715,72680181,13647465,2259314,11406281,118129364,14106577,2674960,6748767,9113309,7175759,761504,756862
01/10/2008,297419,63323974,18386588,2224256,13361557,113078327,13986398,2683660,7920553,10736160,7071808,733757,845885
01/01/2009,238143,51496904,17265279,1973072,10792303,100212731,11659424,2359547,7231593,8596278,6200788,668373,777175
01/04/2009,270757,53716039,15051460,2082284,12914818,104787659,11889211,2732571,7244250,8937778,7051807,739004,810690
01/07/2009,276764,53854674,13328409,1957872,11616835,104438307,11796306,2685715,6883572,8388572,7047033,794507,753152
01/10/2009,278139,59942723,19243614,1905433,14003098,113109758,12398130,2729995,8080942,12008407,6936717,734493,873486
01/01/2010,214772,60131272,18317610,1998203,10755909,114068649,12136932,2493257,7967685,8955324,6669720,677937,777924
01/04/2010,266975,65468121,16095913,2288433,13616226,120960680,13041639,2889961,7253021,10651142,7450259,730178,832040
01/07/2010,247029,62922568,17147776,2144241,11911908,117108763,12595939,2914689,7042559,8908481,7844814,837034,787322
01/10/2010,295633,67964978,18619614,2516460,15682884,129496877,12972516,2918077,7905798,12233633,8133915,792695,868777
01/01/2011,247802,73180382,19459953,2387637,11713256,132195190,13458264,2697029,7582811,9563641,7251285,769177,821401
01/04/2011,298455,74402115,20291033,2493719,15405091,132654281,13766157,3095134,7548777,10323301,8129507,795575,857200
01/07/2011,279830,70913040,18584827,2239335,13175174,126912345,13709590,3033574,7024060,9706090,8402066,961233,822463
01/10/2011,287743,73331254,22426977,2333360,17347640,136628509,14296406,3060047,8503340,12271105,8104176,834935,924190
01/01/2012,219229,73510582,21981482,2363740,12643777,137884104,13314323,2762547,8154524,10257786,7741803,763757,812008
01/04/2012,309180,73225777,17685462,2420639,15828117,135641076,13462669,3120790,7962925,10960581,8345364,799892,837209
01/07/2012,274495,70644503,15224007,2231269,13682061,128214623,13345653,3080113,7646175,10545683,8682264,994818,782665
01/10/2012,367623,73590721,18710290,2561208,16117631,138203880,13765892,3111050,9034748,13147653,8268983,942100,887107
01/01/2013,236569,70766272,19449515,2073601,12952629,134028193,12870681,2750698,7982784,10952924,7796266,799949,817665
01/04/2013,250649,71870956,17220918,2295637,15656877,136991270,13283617,3214998,7886897,11605190,8555639,850914,845265
01/07/2013,229489,68183342,15364612,2145284,13874380,129337353,12010644,3209199,7637849,10549033,9866430,1013085,781871
01/10/2013,255378,70448831,20942560,2463489,16944679,140272550,12710489,3257489,9163553,13405472,9120056,916784,890063
01/01/2014,228158,69114122,24533573,2365954,14430335,135997643,11656505,2965062,7880298,10781329,8993723,854699,797496
01/04/2014,251585,70191235,21052876,2441515,16040768,137866125,12091337,3378054,7926886,11118035,9744855,976966,837189
01/07/2014,174983,70127468,20792219,2296364,13936142,132568219,12216118,3353690,7707879,10922475,9761678,1095918,776947
01/10/2014,236937,69092427,27360299,2465106,17296599,141848356,12926833,3414353,9169716,13779134,9733995,1108309,898427
01/01/2015,198830,65584907,28330117,2368859,13488824,134939712,12855203,3068086,8261346,11539573,9617603,984386,818627
01/04/2015,199926,68434252,28173278,2327716,16488096,141006398,13584917,3550941,8560063,12534313,9931733,1002269,854654
01/07/2015,178643,63905972,25215816,2205483,14420465,133087775,13212161,3519529,7911412,11801322,10732943,1293820,787795
01/10/2015,221382,65919058,29587740,2548813,17483164,143988539,13942643,3527977,9634201,14500387,10142768,1162895,883421
01/01/2016,170442,62865789,27493375,2250472,14125894,136607508,12759990,3204218,8644207,11800568,9626496,1038774,808312
01/04/2016,201219,66281280,23466374,2428233,17177333,140864464,13794391,3584218,8599747,13174394,10693478,1061933,859404
01/07/2016,181937,62542669,23851329,2234827,15156284,131338642,12931071,3683040,8043275,12000867,11061179,1328700,793017
01/10/2016,242524,67549445,29548865,2629934,18727483,144890822,13931492,3672956,9592448,16310645,10642782,1242628,893275
01/01/2017,190782,68275015,33022203,2431809,15132131,144863269,13642817,3325538,8742165,13572146,10197128,1119264,844440
01/04/2017,231250,69731813,28878126,2411254,17740506,149085354,14371468,3880802,8864053,14418455,11401267,1182311,864014
01/07/2017,200439,65433239,25170894,2288898,15964055,139010809,13751846,3939730,8443281,13440332,11602323,1452273,798698
01/10/2017,279690,71512570,28212198,2732862,19011002,152977411,14983348,3917110,9813131,17741879,12265293,1286546,897412
01/01/2018,221903,67524235,29079259,2329372,15514118,149850738,14139899,3562082,8951650,14041775,11909340,1159059,845001
01/04/2018,290956,71109395,27084734,2463629,18670561,155171952,14779672,4093474,9056618,15291408,12947105,1275541,865189
01/07/2018,249688,69018042,24317519,2313531,16559635,144149637,14827374,4120438,8617767,14129407,13730818,1543630,811587
01/10/2018,322558,72092321,28275578,2680654,21023544,156053162,15066145,4155836,10104705,17887693,14561045,1496535,939964
01/01/2019,208536,70354095,27536995,2600913,17293898,150881965,14427963,3690135,9423021,14772605,13145309,1248554,857437
01/04/2019,275505,72521722,21203768,2882538,19867971,154090094,14531976,4292454,9478154,15473862,14585603,1338796,908020
01/07/2019,230740,67951680,21206094,2485869,18070107,146654453,14393241,4328911,9046772,14376014,15165354,1726307,849909
01/10/2019,230152,69820358,22218718,2996560,22425402,159587261,15368904,4341096,11029116,18022412,14977370,1553515,974904
01/01/2020,272210,66125942,20910617,2560494,17806610,147039005,13838336,3217806,9795337,14934411,14036027,1243184,803962
01/04/2020,261801,55070760,18687495,2509913,17224793,123814168,11910229,1716218,9164812,13849027,12096688,591589,655735
